district_name,score_fire_stations,score_hospitals,score_total,scenarios
Alt-Heiligkreuz,0.8665714285714285,0.8591428571428572,0.8627142857142857,"[8, 9, 15, 16, 20, 40, 41]"
Alt-Kürenz,0.90425,0.89525,0.89975,"[18, 20, 22, 23, 25, 26, 29, 43]"
Altstadt,0.86075,0.69175,0.776125,"[15, 19, 20, 21, 22, 24, 41, 42]"
Barbara,0.8370000000000001,0.7998000000000001,0.8183999999999999,"[14, 15, 19, 20, 41]"
Biewer,0.942,0.8811,0.9115,"[24, 25, 26, 27, 28, 29, 30, 31, 32, 42]"
Ehrang,0.9548333333333333,0.9445833333333334,0.94975,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
Ehrang-Quint,0.9548333333333333,0.9445833333333334,0.94975,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
Euren,0.9063333333333333,0.8870833333333333,0.8965833333333334,"[1, 2, 6, 8, 12, 13, 14, 15, 19, 39, 40, 41]"
Feyen,0.9155,0.91675,0.9159999999999999,"[0, 3, 8, 40]"
Feyen-Weismark,0.8888333333333334,0.8926666666666666,0.8905,"[0, 3, 8, 9, 15, 40]"
Filsch,0.9355,0.948,0.942,"[7, 11]"
Gartenfeld,0.87425,0.876375,0.875375,"[15, 16, 18, 20, 22, 23, 41, 43]"
Heiligkreuz,0.8872222222222222,0.8818888888888889,0.8844444444444445,"[3, 4, 8, 9, 15, 16, 20, 40, 41]"
Herresthal,0.9935,0.995,0.9944999999999999,"[12, 39]"
Irsch,0.9571999999999999,0.9592,0.9583999999999999,"[5, 7, 10, 11, 17]"
Kernscheid,0.97125,0.97475,0.973,"[4, 5, 7, 10]"
Kürenz,0.9137272727272727,0.9066363636363637,0.9102727272727272,"[11, 16, 17, 18, 20, 22, 23, 25, 26, 29, 43]"
Mariahof,0.948,0.947875,0.947875,"[0, 3, 4, 5, 9, 10, 16, 40]"
Matthias,0.8426666666666667,0.8121666666666667,0.8273333333333334,"[8, 14, 15, 19, 40, 41]"
Maximin,0.8948333333333333,0.6811666666666666,0.7878333333333334,"[20, 21, 22, 24, 25, 42]"
Mitte-Gartenfeld,0.88125,0.773,0.8270833333333334,"[15, 16, 18, 19, 20, 21, 22, 23, 24, 41, 42, 43]"
Nells-Ländchen,0.915888888888889,0.8585555555555556,0.8872222222222221,"[22, 23, 24, 25, 26, 27, 28, 29, 42]"
Neu-Heiligkreuz,0.8872222222222222,0.8818888888888889,0.8844444444444445,"[3, 4, 8, 9, 15, 16, 20, 40, 41]"
Neu-Kürenz,0.915375,0.9235,0.919625,"[11, 16, 17, 18, 20, 22, 23, 43]"
Nord,0.9095454545454544,0.7830909090909092,0.8462727272727272,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42]"
Olewig,0.9085555555555556,0.9146666666666666,0.9115555555555557,"[9, 10, 15, 16, 17, 18, 20, 23, 43]"
Pallien,0.8966,0.617,0.7565999999999999,"[19, 21, 24, 25, 42]"
Pfalzel,0.93075,0.8975,0.914,"[26, 28, 29, 32]"
Quint,0.9476666666666667,0.9500000000000001,0.9486666666666667,"[36, 37, 38]"
Ruwer,0.9324,0.9118,0.922,"[26, 28, 29, 36, 38]"
Ruwer-Eitelsbach,0.9324,0.9118,0.922,"[26, 28, 29, 36, 38]"
Süd,0.8492857142857143,0.8228571428571428,0.8360000000000001,"[8, 14, 15, 19, 20, 40, 41]"
Tarforst,0.9445,0.9466666666666667,0.9456666666666668,"[7, 10, 11, 17, 18, 43]"
Trier,0.9286363636363636,0.8922954545454546,0.9104318181818182,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
Weismark,0.8888333333333334,0.8926666666666666,0.8905,"[0, 3, 8, 9, 15, 40]"
West,0.8508333333333334,0.6673333333333332,0.759,"[13, 14, 15, 19, 21, 41]"
West-Pallien,0.8722222222222222,0.7028888888888889,0.7874444444444444,"[13, 14, 15, 19, 21, 24, 25, 41, 42]"
Zewen,0.9768000000000001,0.976,0.9762000000000001,"[1, 2, 6, 12, 39]"
